Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Teddy Nails,Библиотека имени Ленина,3 минуты,7 (915) 220-42-32,https://widget.sonline.su/ru/services/?placeid=998611833,4.9,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Юstyle,Библиотека имени Ленина,3 минуты,7 (906) 037-03-88,https://yandex.ru/maps/org/yustyle/109990972743/?ll=37.597664%2C55.752538&z=15,3.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Белая студия ,Библиотека имени Ленина,3 минуты,79998894919,https://belaya.studio/,4.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Сity Nails,Боровицкая,7 минут,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
7 Красок,Боровицкая,6 минут,7 (495) 120-71-77,https://7kpacok.ru/,4.7,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Bless My Nails,Боровицкая,6 минут,7 (995) 117 77 30,https://www.blessmynails.ru/,4.9,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Juvi Clinic,Боровицкая,6 минут,7 (925) 446-64-46,https://juviclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1
12Studio,Боровицкая,7 минут,7 (926) 758-00-12,https://12studio-arbat.ru/,4.6,1,1,1,1,1,0,0,0,1,1,1,1,1,1
Лето,Боровицкая,7 минут,7 (495) 215-18-80,https://l-e-t-o.ru/,4.9,1,1,1,1,1,0,0,0,1,1,0,1,0,1
Вай Тай ,Боровицкая,5 минут,7 (495) 565-32-95,https://waithaispa.ru/,5,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Aldo Coppola,Боровицкая,8 минут ,7 (905) 591-97-52,https://aldocoppola.ru/,4.4,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Вау! Nails,Боровицкая,3 минуты,7 (906) 037-03-88,https://yclients.com/salon/vau-nail/117287/#tab=price,4.8,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Teddy Nails,Боровицкая,3 минуты,7 (915) 220-42-32,https://widget.sonline.su/ru/services/?placeid=998611833,4.9,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Юstyle,Боровицкая,3 минуты,7 (906) 037-03-88,https://yandex.ru/maps/org/yustyle/109990972743/?ll=37.597664%2C55.752538&z=15,3.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Белая студия ,Боровицкая,3 минуты,79998894919,https://belaya.studio/,4.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Krygina studio,Кропоткинская,5 минут,7 (495) 120-40-60,https://krygina.com/krygina-studio,5,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Твоя история,Кропоткинская,2 минуты,7 (499) 340-22-62,https://yourstorysalon.ru,4.6,1,1,1,1,0,0,0,0,0,1,1,1,1,0
AltoSenso,Кропоткинская,2 минуты,7 (495) 785-05-85,http://altosenso.ru,4.4,1,0,1,0,1,1,0,0,1,1,1,1,1,0
Клиника Елены Гольцовой GG beauty,Кропоткинская,4 минуты ,7 (495) 228-82-48,https://msk.ggbeauty.ru,4.8,0,0,0,0,0,0,1,1,0,0,1,1,1,1
Fly Lashes,Кропоткинская,3 минуты,7(901) 780-26-46,http://taplink.cc/flylashes,4.9,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Персона,Кропоткинская,5 минут,7 (499) 350-45-87,https://persona.ru/,5,1,0,1,0,1,1,1,0,1,1,0,0,0,0
Saco,Кропоткинская,3 минуты,7 (926) 401-69-31,https://sacohair.ru,4.7,1,0,1,0,1,0,0,1,0,0,1,1,0,1
Beverly Hills,Парк культуры,2 минуты,7 (921) 933 04 38,http://salonbh.ru/,5,1,0,1,0,1,0,0,0,1,1,1,0,0,0
City Nails,Парк культуры,7 минут,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Белый Сад,Парк культуры,3 минуты,7 499 795 95 95,https://belysad.ru/,4.5,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Бостанди,Парк культуры,2 минуты,7 968 894-51-22,https://bostan-di.ru/,5,1,1,0,0,1,0,0,0,1,1,0,0,0,0
Sun&City,Парк культуры,7 минут,7 (499) 242-83-07,https://sunicity.ru/,5,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Mavie Clinic,Парк культуры,1 минута,7 (495) 003-03-01,https://mavieclinique.ru/,5,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Триактив ,Сретенский бульвар,1 минута,7 (495) 877-38-67,https://triaktiv.ru/,4.9,0,0,0,0,0,0,1,1,0,0,1,1,1,0
BeautyWay,Сретенский бульвар,2 минуты,7(495) 260-34-16,https://bwclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Красивые Люди,Сретенский бульвар,2 минуты,7 (985) 728-45-88,https://krasiviepeople.ru/,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Mone ,Сретенский бульвар,3 минуты,7 (968) 579-96-23,https://salonmone.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Soho Nails,Сретенский бульвар,3 минуты,7 (495) 978 24 28,http://sohonails.ru/,4.9,0,0,1,1,1,0,0,0,1,0,0,0,0,0
